img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/5220548ccc.gif,Dr. Seuss: How the Grinch Stole Christmas,DS,Action,CokeM Interactive,Unknown,,,,,0.31,0.29,,,0.02,2007-11-08,
/games/boxart/4628513ccc.jpg,KISS Pinball,PS,Action,Take-Two Interactive,Take-Two Interactive,,,,,0.31,0.17,,0.12,0.02,2001-04-25,
/games/boxart/2403141ccc.jpg,Brothers In Arms: Earned In Blood,XB,Action,Ubisoft,Unknown,,,,,0.31,0.23,,0.07,0.01,2005-10-07,
/games/boxart/full_8882920AmericaFrontccc.jpg,Dark Void,X360,Action,Capcom,Airtight Games,,6.1,,,0.31,0.19,,0.09,0.03,2010-01-19,
/games/boxart/full_448641PALFrontccc.jpg,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,Action,THQ,Vicarious Visions,,,,,0.31,0.22,,0.08,0.01,2005-01-18,
/games/boxart/full_2483522AmericaFrontccc.jpg,DmC Devil May Cry: Definitive Edition,PS4,Action,Capcom,QLOC,,,,,0.31,0.12,,0.13,0.05,2015-03-10,2018-05-01
/games/boxart/full_9965630AmericaFrontccc.jpg,Warriors  Orochi 4,NS,Action,Koei Tecmo,Omega Force,,8.5,,0.31,,,,,,2018-10-16,2018-11-11
/games/boxart/full_8895760AmericaFrontccc.png,Hitman,XOne,Action,Square Enix,IO Interactive,,,,,0.31,0.2,,0.08,0.03,2017-01-31,2018-05-01
/games/boxart/full_mysims-skyheroes_351AmericaFront.jpg,MySims SkyHeroes,DS,Action,Electronic Arts,The Sims Studio,,,,,0.31,0.2,,0.08,0.03,2010-09-28,
/games/boxart/full_6284055AmericaFrontccc.jpg,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,PC,Action,Unknown,Opus Studio,,,,0.31,,,,,,,2019-02-14
/games/boxart/3183920ccc.jpg,Mega Man Battle Network 2,GBA,Action,Ubisoft,Capcom,,,,,0.31,0.22,,0.08,0.01,2002-10-18,
/games/boxart/full_6228571AmericaFrontccc.jpg,Lego Batman 3: Beyond Gotham,PSV,Action,Warner Bros. Interactive Entertainment,TT Fusion,,,,,0.31,0.05,,0.19,0.07,2014-11-11,2018-01-06
/games/boxart/2853221ccc.jpg,Mountain King,2600,Action,CBS Electronics,CBS Electronics,,,,,0.31,0.29,,0.02,0.0,1983-01-01,
/games/boxart/1150352ccc.jpg,The Incredible Hulk,Wii,Action,Sega,Edge of Reality,,,,,0.31,0.28,,0.01,0.02,2008-06-05,
/games/boxart/full_tron-evolution_302AmericaFront.jpg,TRON: Evolution,X360,Action,Disney Interactive Studios,Propaganda Games,,,,,0.31,0.24,,0.05,0.02,2010-12-07,
/games/boxart/full_957074AmericaFrontccc.jpg,Slot Machine,2600,Action,Atari,Atari,,,,,0.31,0.29,,0.02,0.0,1979-01-01,
/games/boxart/7940495ccc.jpg,Astroblast,2600,Action,Mattel Interactive,Mattel,,,,,0.31,0.29,,0.02,0.0,1982-01-01,
/games/boxart/3860973ccc.jpg,Blade II,PS2,Action,Activision,Mucky Foot Productions,,,,,0.31,0.15,,0.12,0.04,2002-09-02,
/games/boxart/full_9506557AmericaFrontccc.jpg,Star Wars Episode III: Revenge of the Sith,DS,Action,Ubisoft,Ubisoft Montreal,,7.3,,,0.31,0.25,,0.03,0.02,2005-05-04,
/games/boxart/5544559ccc.jpg,Disney's Stitch: Experiment 626,PS2,Action,Disney Interactive Studios,High Voltage Software,,,,,0.31,0.15,,0.12,0.04,2002-06-19,
/games/boxart/full_170958AmericaFrontccc.jpg,Ultimate Spider-Man,GBA,Action,Activision,Vicarious Visions,,,,,0.3,0.22,,0.08,0.01,2005-09-22,
/games/boxart/full_946752AmericaFrontccc.jpg,Resident Evil: Revelations 2,PS3,Action,Capcom,Capcom,,,,,0.3,0.06,0.17,0.05,0.02,2015-02-24,2018-04-15
/games/boxart/1031276ccc.jpg,"Army Men World War: Land, Sea, Air",PS,Action,3DO,3DO,,,,,0.3,0.17,,0.12,0.02,2000-09-20,
/games/boxart/full_tom-clancys-splinter-cell-3d_902AmericaFront.jpg,Tom Clancy's Splinter Cell 3D,3DS,Action,Ubisoft,Gameloft,,8.0,,,0.3,0.14,0.07,0.07,0.02,2011-04-10,
/games/boxart/4423588ccc.jpg,Chaos Legion,PS2,Action,Capcom,Capcom Production Studio 6,,6.2,,,0.3,0.15,,0.12,0.04,2003-08-06,
/games/boxart/full_8299353AmericaFrontccc.jpg,LEGO Marvel's Avengers,3DS,Action,Warner Bros. Interactive Entertainment,TT Fusion,,,,,0.3,0.08,0.03,0.17,0.02,2016-01-26,2018-04-06
/games/boxart/full_7688825AmericaFrontccc.jpg,Looney Tunes: Duck Amuck,DS,Action,Warner Bros. Interactive,WayForward Technologies,,6.4,,,0.3,0.28,,0.0,0.02,2007-10-09,
/games/boxart/full_5784968AmericaFrontccc.jpg,Resident Evil Archives: Resident Evil,Wii,Action,Capcom,Capcom Production Studio 4,,7.6,,,0.3,0.16,0.08,0.04,0.02,2009-06-23,
/games/boxart/full_9388067AmericaFrontccc.jpg,Asterix & Obelix Take On Caesar,All,Action,Cryo Interactive,Tek 5,,,,0.3,,,,,,1999-01-01,2021-03-20
/games/boxart/full_5527668AmericaFrontccc.png,Ridiculous Fishing,iOS,Action,Unknown,Vlambeer,,,,0.3,,,,,,,2021-02-17
/games/boxart/full_8608434AmericaFrontccc.jpg,Yu Yu Hakusho Ghost Files: Spirit Detective,GBA,Action,Atari,Atari Games,,,,,0.3,0.21,,0.08,0.01,2003-12-02,
/games/boxart/9294734ccc.jpg,Army Men: Air Attack 2,PS,Action,3DO,3DO,,,,,0.3,0.17,,0.11,0.02,2000-09-26,
/games/boxart/137826ccc.jpg,Devil May Cry 4,PC,Action,Capcom,Capcom,,7.5,,0.3,,,,,,2008-07-08,
/games/boxart/7514218ccc.jpg,Dynasty Warriors 6,X360,Action,KOEI,Omega Force,,6.2,,,0.3,0.15,0.06,0.06,0.02,2008-02-19,
/games/boxart/full_4010095PALFrontccc.jpg,Fist of the North Star: Ken's Rage 2,PS3,Action,Tecmo Koei,Koei,,5.0,,,0.3,,0.3,,,2013-02-05,2019-01-03
/games/boxart/7087487ccc.gif,The Suite Life of Zack & Cody: Circle of Spies,DS,Action,Disney Interactive Studios,Artificial Mind and Movement,,,,,0.3,0.17,,0.09,0.03,2007-10-18,
/games/boxart/6957804ccc.jpg,Finding Nemo: The Continuing Adventures,GBA,Action,THQ,Altron,,8.0,,,0.3,0.21,,0.08,0.01,2004-09-08,
/games/boxart/4862184ccc.jpg,Shrek the Third,DS,Action,Activision,Vicarious Visions,,,,,0.3,0.26,,0.02,0.02,2007-05-02,
/games/boxart/full_3034740AmericaFrontccc.jpg,Shark Tale,GC,Action,Activision,Edge of Reality,,,,,0.3,0.23,,0.06,0.01,2004-09-27,
/games/boxart/full_batman-the-brave-and-the-bold-the-videogame_5AmericaFront.jpg,Batman: The Brave and the Bold the Videogame,DS,Action,Warner Bros. Interactive,WayForward Technologies,,7.5,,,0.3,0.23,,0.04,0.02,2010-09-07,
